,Sepal Length,Sepal Width,Petal Length,Petal Width,class
107,7.3,2.9,6.3,1.8,Iris-virginica
124,6.7,3.3,5.7,2.1,Iris-virginica
6,4.6,3.4,1.4,0.3,Iris-setosa
78,6.0,2.9,4.5,1.5,Iris-versicolor
9,4.9,3.1,1.5,0.1,Iris-setosa
5,5.4,3.9,1.7,0.4,Iris-setosa
25,5.0,3.0,1.6,0.2,Iris-setosa
54,6.5,2.8,4.6,1.5,Iris-versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
36,5.5,3.5,1.3,0.2,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
28,5.2,3.4,1.4,0.2,Iris-setosa
67,5.8,2.7,4.1,1.0,Iris-versicolor
17,5.1,3.5,1.4,0.3,Iris-setosa
8,4.4,2.9,1.4,0.2,Iris-setosa
56,6.3,3.3,4.7,1.6,Iris-versicolor
106,4.9,2.5,4.5,1.7,Iris-virginica
91,6.1,3.0,4.6,1.4,Iris-versicolor
31,5.4,3.4,1.5,0.4,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
105,7.6,3.0,6.6,2.1,Iris-virginica
144,6.7,3.3,5.7,2.5,Iris-virginica
4,5.0,3.6,1.4,0.2,Iris-setosa
27,5.2,3.5,1.5,0.2,Iris-setosa
127,6.1,3.0,4.9,1.8,Iris-virginica
3,4.6,3.1,1.5,0.2,Iris-setosa
1,4.9,3.0,1.4,0.2,Iris-setosa
119,6.0,2.2,5.0,1.5,Iris-virginica
97,6.2,2.9,4.3,1.3,Iris-versicolor
76,6.8,2.8,4.8,1.4,Iris-versicolor
145,6.7,3.0,5.2,2.3,Iris-virginica
59,5.2,2.7,3.9,1.4,Iris-versicolor
101,5.8,2.7,5.1,1.9,Iris-virginica
118,7.7,2.6,6.9,2.3,Iris-virginica
148,6.2,3.4,5.4,2.3,Iris-virginica
133,6.3,2.8,5.1,1.5,Iris-virginica
140,6.7,3.1,5.6,2.4,Iris-virginica
26,5.0,3.4,1.6,0.4,Iris-setosa
132,6.4,2.8,5.6,2.2,Iris-virginica
95,5.7,3.0,4.2,1.2,Iris-versicolor
12,4.8,3.0,1.4,0.1,Iris-setosa
110,6.5,3.2,5.1,2.0,Iris-virginica
62,6.0,2.2,4.0,1.0,Iris-versicolor
114,5.8,2.8,5.1,2.4,Iris-virginica
142,5.8,2.7,5.1,1.9,Iris-virginica
70,5.9,3.2,4.8,1.8,Iris-versicolor
120,6.9,3.2,5.7,2.3,Iris-virginica
92,5.8,2.6,4.0,1.2,Iris-versicolor
126,6.2,2.8,4.8,1.8,Iris-virginica
98,5.1,2.5,3.0,1.1,Iris-versicolor
89,5.5,2.5,4.0,1.3,Iris-versicolor
42,4.4,3.2,1.3,0.2,Iris-setosa
50,7.0,3.2,4.7,1.4,Iris-versicolor
34,4.9,3.1,1.5,0.1,Iris-setosa
104,6.5,3.0,5.8,2.2,Iris-virginica
29,4.7,3.2,1.6,0.2,Iris-setosa
94,5.6,2.7,4.2,1.3,Iris-versicolor
24,4.8,3.4,1.9,0.2,Iris-setosa
37,4.9,3.1,1.5,0.1,Iris-setosa
117,7.7,3.8,6.7,2.2,Iris-virginica
63,6.1,2.9,4.7,1.4,Iris-versicolor
134,6.1,2.6,5.6,1.4,Iris-virginica
125,7.2,3.2,6.0,1.8,Iris-virginica
16,5.4,3.9,1.3,0.4,Iris-setosa
149,5.9,3.0,5.1,1.8,Iris-virginica
30,4.8,3.1,1.6,0.2,Iris-setosa
99,5.7,2.8,4.1,1.3,Iris-versicolor
58,6.6,2.9,4.6,1.3,Iris-versicolor
74,6.4,2.9,4.3,1.3,Iris-versicolor
44,5.1,3.8,1.9,0.4,Iris-setosa
93,5.0,2.3,3.3,1.0,Iris-versicolor
41,4.5,2.3,1.3,0.3,Iris-setosa
102,7.1,3.0,5.9,2.1,Iris-virginica
80,5.5,2.4,3.8,1.1,Iris-versicolor
0,5.1,3.5,1.4,0.2,Iris-setosa
48,5.3,3.7,1.5,0.2,Iris-setosa
87,6.3,2.3,4.4,1.3,Iris-versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor
112,6.8,3.0,5.5,2.1,Iris-virginica
128,6.4,2.8,5.6,2.1,Iris-virginica
43,5.0,3.5,1.6,0.6,Iris-setosa
35,5.0,3.2,1.2,0.2,Iris-setosa
96,5.7,2.9,4.2,1.3,Iris-versicolor
38,4.4,3.0,1.3,0.2,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa
138,6.0,3.0,4.8,1.8,Iris-virginica
15,5.7,4.4,1.5,0.4,Iris-setosa
72,6.3,2.5,4.9,1.5,Iris-versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor
20,5.4,3.4,1.7,0.2,Iris-setosa
79,5.7,2.6,3.5,1.0,Iris-versicolor
111,6.4,2.7,5.3,1.9,Iris-virginica
88,5.6,3.0,4.1,1.3,Iris-versicolor
135,7.7,3.0,6.1,2.3,Iris-virginica
136,6.3,3.4,5.6,2.4,Iris-virginica
100,6.3,3.3,6.0,2.5,Iris-virginica
49,5.0,3.3,1.4,0.2,Iris-setosa
47,4.6,3.2,1.4,0.2,Iris-setosa
131,7.9,3.8,6.4,2.0,Iris-virginica
46,5.1,3.8,1.6,0.2,Iris-setosa
68,6.2,2.2,4.5,1.5,Iris-versicolor
90,5.5,2.6,4.4,1.2,Iris-versicolor
137,6.4,3.1,5.5,1.8,Iris-virginica
121,5.6,2.8,4.9,2.0,Iris-virginica
